"school_name","year","cep","eligible","pct_free_reduced","unpaid","debt_per_student"
"Carrington","2013-14",0,NA,0.622067767158992,2197.04,1.90880973066898
"City of Medicine","2013-14",0,NA,0.56,300.93,0.925938461538462
"Club","2013-14",0,NA,0.608445297504798,607.39,1.16581573896353
"Creekside","2013-14",0,NA,0.469505178365938,1494.83,1.72017261219793
"Glenn","2013-14",0,NA,0.947994056463596,3398.4,5.04962852897474
"Performance Learning Center","2013-14",0,NA,0.680412371134021,967.78,4.98855670103093
"Durham School of the Arts","2013-14",0,NA,0.395259449071108,933.85,0.598238308776425
"Hillandale","2013-14",0,NA,0.602898550724638,2698.68,3.91113043478261
"Hillside","2013-14",0,NA,0.664462809917355,1222.54,1.01036363636364
"Hope Valley","2013-14",0,NA,0.666158536585366,4103.76,6.25573170731707
"Holt","2013-14",0,NA,0.972649572649573,58.7,0.10034188034188
"Forestview","2013-14",0,NA,0.62699564586357,1394.28,2.02362844702467
"Shepard","2013-14",0,NA,0.735632183908046,1770.94,3.39260536398467
"Lakewood Elementary","2013-14",0,NA,1,378.4,0.835320088300221
"Little River","2013-14",0,NA,0.455696202531646,334.48,0.846784810126582
"Lakeview","2013-14",0,NA,1,2041.22,20.0119607843137
"Lakewood Middle","2013-14",0,NA,0.472027972027972,690.95,2.41590909090909
"Lucas","2013-14",0,NA,0.640650406504065,5423.3,8.81837398373984
"Fayetteville Street","2013-14",0,NA,1,974.01,3.95939024390244
"Lowe's Grove","2013-14",0,NA,0.796242774566474,2381.16,3.44098265895954
"George Watts","2013-14",0,NA,0.557522123893805,1036.65,3.05796460176991
"Mangum","2013-14",0,NA,0.266846361185984,338.59,0.912641509433962
"Merrick Moore","2013-14",0,NA,0.897581792318634,6064.08,8.62600284495021
"Morehead","2013-14",0,NA,0.466981132075472,272.45,1.28514150943396
"Neal","2013-14",0,NA,0.861678004535147,3114.71,3.53141723356009
"Northern","2013-14",0,NA,0.607799852832965,1908.58,1.40440029433407
"Oak Grove","2013-14",0,NA,0.886759581881533,1816.32,3.16432055749129
"Parkwood","2013-14",0,NA,0.761904761904762,4118.5,7.2636684303351
"E K Powe","2013-14",0,NA,0.6875,1221.06,3.05265
"Pearsontown","2013-14",0,NA,0.314250913520097,668.31,0.814019488428745
"Riverside","2013-14",0,NA,0.531196336576989,2939.33,1.68250143102461
"Githens","2013-14",0,NA,0.721887550200803,5158.76,5.17947791164659
"R N Harris","2013-14",0,NA,0.872576177285319,2781.92,7.70614958448753
